name,conf,dft@mmff,pm7@mmff,mmff@mmff,dft@pm7,pm7@pm7,mmff@pm7,dft@dft,pm7@dft,mmff@dft
CHG_jobs/astex_1gm8, rmsd112, 4585.075355, -197.521550, 86.899248, 4592.158016, -204.715020, 90.362783, 4603.661215, -204.715210, 90.359833
CHG_jobs/astex_1gm8, rmsd114, 4586.902414, -198.829400, 86.526115, 4593.455180, -204.823130, 89.750644, 4603.851841, -195.121460, 90.065029
CHG_jobs/astex_1gm8, rmsd115, 4586.743003, -198.692260, 86.599277, 4593.508020, -204.827580, 89.719726, 4603.186751, -204.827290, 89.718982
CHG_jobs/astex_1gm8, rmsd125, 4585.255144, -197.921440, 86.388393, 4592.313808, -204.724130, 90.465637, 4603.743133, -204.723600, 90.479666
CHG_jobs/astex_1gm8, rmsd141, 4585.697110, -197.847460, 88.401585, 4592.749577, -204.885210, 89.861731, 4603.673224, -204.885060, 89.873908
CHG_jobs/astex_1gm8, rmsd162, 4584.762651, -197.711140, 87.233993, 4592.303548, -204.771000, 90.645576, 4603.758870, -204.771090, 90.650066
CHG_jobs/astex_1gm8, rmsd163, 4585.177750, -197.502890, 85.854797, 4592.255769, -204.719810, 89.500291, 4603.702071, -204.719900, 89.506588
CHG_jobs/astex_1gm8, rmsd176, 4587.839091, -200.419310, 85.126883, 4591.598744, -204.687630, 90.331700, 4603.627724, -204.687490, 90.342136
CHG_jobs/astex_1gm8, rmsd35, 4586.477277, -198.143590, 86.910203, 4593.040657, -204.828970, 89.515700, 4603.715763, -204.829020, 89.513857
CHG_jobs/astex_1gm8, rmsd48, 4586.551835, -198.027030, 86.913699, 4592.656244, -204.878490, 89.845951, 4603.622121, -204.878410, 89.837608
CHG_jobs/astex_1hnn, rmsd1, nan, 93.984420, -39.650186, 2623.752654, 93.186830, -38.756202, 2629.321172, 93.186830, -38.763472
CHG_jobs/astex_1hnn, rmsd2, nan, 95.178220, -37.764113, 2622.711741, 94.177710, -36.615726, 2628.393528, 94.177740, -36.611449
CHG_jobs/astex_1hnn, rmsd3, nan, 93.285080, -40.395965, 2625.448913, 92.338700, -38.955722, 2631.080510, 92.338640, -38.956451
CHG_jobs/astex_1hnn, rmsd4, nan, 93.195930, -40.481642, 2625.550214, 92.211810, -39.036207, 2631.191582, 92.211970, -39.030606
CHG_jobs/astex_1hnn, rmsd5, nan, 93.214260, -40.407076, 2625.475873, 92.270610, -39.059813, 2630.906754, 92.270480, -39.053785
CHG_jobs/astex_1hnn, rmsd6, nan, 93.193980, -40.416204, 2625.620576, 92.266900, -39.404465, 2630.937791, 92.267270, -39.387367
CHG_jobs/astex_1hnn, rmsd7, nan, 93.054570, -40.547956, 2625.768990, 92.101560, -39.422080, 2631.003185, 92.101590, -39.427661
CHG_jobs/astex_1hnn, rmsd8, nan, 93.098410, -40.500810, 2625.770935, 92.074310, -39.251297, 2631.075589, 92.074400, -39.240096
CHG_jobs/astex_1ia1, rmsd2, nan, 221.948960, -54.485417, 3576.121477, 212.522960, -48.034492, 3580.222082, 212.523650, -48.051755
CHG_jobs/astex_1ia1, rmsd40, nan, 222.852340, -55.071145, 3575.361273, 212.626100, -45.479677, 3580.307791, 212.626250, -45.460028
CHG_jobs/astex_1ia1, rmsd41, nan, 222.773470, -55.142659, 3575.420267, 212.607550, -45.521658, 3580.413058, 212.607930, -45.512246
CHG_jobs/astex_1ia1, rmsd42, nan, 222.728830, -55.194307, 3576.003089, 212.592230, -48.615564, 3579.647305, 212.592090, -48.614536
CHG_jobs/astex_1ia1, rmsd43, nan, 221.753720, -54.438514, 3575.916227, 212.673050, -49.066645, 3579.514752, 212.673120, -49.054736
CHG_jobs/astex_1ia1, rmsd44, nan, 221.802420, -54.472768, 3576.057146, 212.601290, -48.727380, 3579.635390, 212.601530, -48.715596
CHG_jobs/astex_1ia1, rmsd46, nan, 221.415160, -51.647377, 3575.497734, 212.566910, -45.866522, 3579.997232, 212.567060, -45.853204
CHG_jobs/astex_1ia1, rmsd47, nan, 222.163530, -53.049577, 3575.453286, 212.604990, -45.750772, 3580.334899, 212.604980, -45.743277
CHG_jobs/astex_1ia1, rmsd48, nan, 222.468920, -54.181992, 3575.061667, 212.744640, -44.883175, 3580.384779, 212.744970, -44.878592
CHG_jobs/astex_1ia1, rmsd49, nan, 222.603240, -54.569498, 3575.436172, 212.619010, -45.392974, 3580.443662, 212.619180, -45.396373
CHG_jobs/astex_1ig3, rmsd121, nan, 145.441830, 148.857324, 3559.326202, 140.064370, 161.304940, 3564.660609, 140.064540, 161.283738
CHG_jobs/astex_1ig3, rmsd152, nan, 144.565790, 145.111207, 3559.618222, 139.904390, 155.901820, 3564.995794, 139.904300, 155.899176
CHG_jobs/astex_1ig3, rmsd167, nan, 146.935970, 145.213600, 3559.350546, 139.825380, 159.308416, 3565.125990, 139.825430, 159.316780
