name, conf, dftE, pm7E, mmffE
CHG_jobs/astex_1gm8, rmsd112-mmff, 4585.075355, -197.521550, 86.899248
CHG_jobs/astex_1gm8, rmsd112-pm7, 4592.158016, -204.715020, 90.362783
CHG_jobs/astex_1gm8, rmsd112-opt, 4603.661215, -204.715210, 90.359833
CHG_jobs/astex_1gm8, rmsd114-mmff, 4586.902414, -198.829400, 86.526115
CHG_jobs/astex_1gm8, rmsd114-pm7, 4593.455180, -204.823130, 89.750644
CHG_jobs/astex_1gm8, rmsd114-opt, 4603.851841, -195.121460, 90.065029
CHG_jobs/astex_1gm8, rmsd115-mmff, 4586.743003, -198.692260, 86.599277
CHG_jobs/astex_1gm8, rmsd115-pm7, 4593.508020, -204.827580, 89.719726
CHG_jobs/astex_1gm8, rmsd115-opt, 4603.186751, -204.827290, 89.718982
CHG_jobs/astex_1gm8, rmsd125-mmff, 4585.255144, -197.921440, 86.388393
CHG_jobs/astex_1gm8, rmsd125-pm7, 4592.313808, -204.724130, 90.465637
CHG_jobs/astex_1gm8, rmsd125-opt, 4603.743133, -204.723600, 90.479666
CHG_jobs/astex_1gm8, rmsd141-mmff, 4585.697110, -197.847460, 88.401585
CHG_jobs/astex_1gm8, rmsd141-pm7, 4592.749577, -204.885210, 89.861731
CHG_jobs/astex_1gm8, rmsd141-opt, 4603.673224, -204.885060, 89.873908
CHG_jobs/astex_1gm8, rmsd162-mmff, 4584.762651, -197.711140, 87.233993
CHG_jobs/astex_1gm8, rmsd162-pm7, 4592.303548, -204.771000, 90.645576
CHG_jobs/astex_1gm8, rmsd162-opt, 4603.758870, -204.771090, 90.650066
CHG_jobs/astex_1gm8, rmsd163-mmff, 4585.177750, -197.502890, 85.854797
CHG_jobs/astex_1gm8, rmsd163-pm7, 4592.255769, -204.719810, 89.500291
CHG_jobs/astex_1gm8, rmsd163-opt, 4603.702071, -204.719900, 89.506588
CHG_jobs/astex_1gm8, rmsd176-mmff, 4587.839091, -200.419310, 85.126883
CHG_jobs/astex_1gm8, rmsd176-pm7, 4591.598744, -204.687630, 90.331700
CHG_jobs/astex_1gm8, rmsd176-opt, 4603.627724, -204.687490, 90.342136
CHG_jobs/astex_1gm8, rmsd35-mmff, 4586.477277, -198.143590, 86.910203
CHG_jobs/astex_1gm8, rmsd35-pm7, 4593.040657, -204.828970, 89.515700
CHG_jobs/astex_1gm8, rmsd35-opt, 4603.715763, -204.829020, 89.513857
CHG_jobs/astex_1gm8, rmsd48-mmff, 4586.551835, -198.027030, 86.913699
CHG_jobs/astex_1gm8, rmsd48-pm7, 4592.656244, -204.878490, 89.845951
CHG_jobs/astex_1gm8, rmsd48-opt, 4603.622121, -204.878410, 89.837608
CHG_jobs/astex_1hnn, rmsd1-mmff, nan, 93.984420, -39.650186
CHG_jobs/astex_1hnn, rmsd1-pm7, 2623.752654, 93.186830, -38.756202
CHG_jobs/astex_1hnn, rmsd1-opt, 2629.321172, 93.186830, -38.763472
CHG_jobs/astex_1hnn, rmsd2-mmff, nan, 95.178220, -37.764113
CHG_jobs/astex_1hnn, rmsd2-pm7, 2622.711741, 94.177710, -36.615726
CHG_jobs/astex_1hnn, rmsd2-opt, 2628.393528, 94.177740, -36.611449
CHG_jobs/astex_1hnn, rmsd3-mmff, nan, 93.285080, -40.395965
CHG_jobs/astex_1hnn, rmsd3-pm7, 2625.448913, 92.338700, -38.955722
CHG_jobs/astex_1hnn, rmsd3-opt, 2631.080510, 92.338640, -38.956451
CHG_jobs/astex_1hnn, rmsd4-mmff, nan, 93.195930, -40.481642
CHG_jobs/astex_1hnn, rmsd4-pm7, 2625.550214, 92.211810, -39.036207
CHG_jobs/astex_1hnn, rmsd4-opt, 2631.191582, 92.211970, -39.030606
CHG_jobs/astex_1hnn, rmsd5-mmff, nan, 93.214260, -40.407076
CHG_jobs/astex_1hnn, rmsd5-pm7, 2625.475873, 92.270610, -39.059813
CHG_jobs/astex_1hnn, rmsd5-opt, 2630.906754, 92.270480, -39.053785
CHG_jobs/astex_1hnn, rmsd6-mmff, nan, 93.193980, -40.416204
CHG_jobs/astex_1hnn, rmsd6-pm7, 2625.620576, 92.266900, -39.404465
CHG_jobs/astex_1hnn, rmsd6-opt, 2630.937791, 92.267270, -39.387367
CHG_jobs/astex_1hnn, rmsd7-mmff, nan, 93.054570, -40.547956
CHG_jobs/astex_1hnn, rmsd7-pm7, 2625.768990, 92.101560, -39.422080
CHG_jobs/astex_1hnn, rmsd7-opt, 2631.003185, 92.101590, -39.427661
CHG_jobs/astex_1hnn, rmsd8-mmff, nan, 93.098410, -40.500810
CHG_jobs/astex_1hnn, rmsd8-pm7, 2625.770935, 92.074310, -39.251297
CHG_jobs/astex_1hnn, rmsd8-opt, 2631.075589, 92.074400, -39.240096
CHG_jobs/astex_1ia1, rmsd2-mmff, nan, 221.948960, -54.485417
CHG_jobs/astex_1ia1, rmsd2-pm7, 3576.121477, 212.522960, -48.034492
CHG_jobs/astex_1ia1, rmsd2-opt, 3580.222082, 212.523650, -48.051755
CHG_jobs/astex_1ia1, rmsd40-mmff, nan, 222.852340, -55.071145
CHG_jobs/astex_1ia1, rmsd40-pm7, 3575.361273, 212.626100, -45.479677
CHG_jobs/astex_1ia1, rmsd40-opt, 3580.307791, 212.626250, -45.460028
CHG_jobs/astex_1ia1, rmsd41-mmff, nan, 222.773470, -55.142659
CHG_jobs/astex_1ia1, rmsd41-pm7, 3575.420267, 212.607550, -45.521658
CHG_jobs/astex_1ia1, rmsd41-opt, 3580.413058, 212.607930, -45.512246
CHG_jobs/astex_1ia1, rmsd42-mmff, nan, 222.728830, -55.194307
CHG_jobs/astex_1ia1, rmsd42-pm7, 3576.003089, 212.592230, -48.615564
CHG_jobs/astex_1ia1, rmsd42-opt, 3579.647305, 212.592090, -48.614536
CHG_jobs/astex_1ia1, rmsd43-mmff, nan, 221.753720, -54.438514
CHG_jobs/astex_1ia1, rmsd43-pm7, 3575.916227, 212.673050, -49.066645
CHG_jobs/astex_1ia1, rmsd43-opt, 3579.514752, 212.673120, -49.054736
CHG_jobs/astex_1ia1, rmsd44-mmff, nan, 221.802420, -54.472768
CHG_jobs/astex_1ia1, rmsd44-pm7, 3576.057146, 212.601290, -48.727380
CHG_jobs/astex_1ia1, rmsd44-opt, 3579.635390, 212.601530, -48.715596
CHG_jobs/astex_1ia1, rmsd46-mmff, nan, 221.415160, -51.647377
CHG_jobs/astex_1ia1, rmsd46-pm7, 3575.497734, 212.566910, -45.866522
CHG_jobs/astex_1ia1, rmsd46-opt, 3579.997232, 212.567060, -45.853204
CHG_jobs/astex_1ia1, rmsd47-mmff, nan, 222.163530, -53.049577
CHG_jobs/astex_1ia1, rmsd47-pm7, 3575.453286, 212.604990, -45.750772
CHG_jobs/astex_1ia1, rmsd47-opt, 3580.334899, 212.604980, -45.743277
CHG_jobs/astex_1ia1, rmsd48-mmff, nan, 222.468920, -54.181992
CHG_jobs/astex_1ia1, rmsd48-pm7, 3575.061667, 212.744640, -44.883175
CHG_jobs/astex_1ia1, rmsd48-opt, 3580.384779, 212.744970, -44.878592
CHG_jobs/astex_1ia1, rmsd49-mmff, nan, 222.603240, -54.569498
CHG_jobs/astex_1ia1, rmsd49-pm7, 3575.436172, 212.619010, -45.392974
CHG_jobs/astex_1ia1, rmsd49-opt, 3580.443662, 212.619180, -45.396373
CHG_jobs/astex_1ig3, rmsd121-mmff, nan, 145.441830, 148.857324
CHG_jobs/astex_1ig3, rmsd121-pm7, 3559.326202, 140.064370, 161.304940
CHG_jobs/astex_1ig3, rmsd121-opt, 3564.660609, 140.064540, 161.283738
CHG_jobs/astex_1ig3, rmsd152-mmff, nan, 144.565790, 145.111207
CHG_jobs/astex_1ig3, rmsd152-pm7, 3559.618222, 139.904390, 155.901820
CHG_jobs/astex_1ig3, rmsd152-opt, 3564.995794, 139.904300, 155.899176
CHG_jobs/astex_1ig3, rmsd167-mmff, nan, 146.935970, 145.213600
CHG_jobs/astex_1ig3, rmsd167-pm7, 3559.350546, 139.825380, 159.308416
CHG_jobs/astex_1ig3, rmsd167-opt, 3565.125990, 139.825430, 159.316780
CHG_jobs/astex_1ig3, rmsd171-mmff, nan, 149.544930, 147.497393
CHG_jobs/astex_1ig3, rmsd171-pm7, 3559.451617, 139.932830, 155.477162
CHG_jobs/astex_1ig3, rmsd171-opt, 3565.152805, 139.933010, 155.481665
CHG_jobs/astex_1ig3, rmsd182-mmff, nan, 148.902850, 143.815065
CHG_jobs/astex_1ig3, rmsd182-pm7, 3559.028814, 140.207440, 157.305590
CHG_jobs/astex_1ig3, rmsd182-opt, 3564.490163, 140.207590, 157.304308
CHG_jobs/astex_1ig3, rmsd197-mmff, nan, 146.682850, 148.589286
CHG_jobs/astex_1ig3, rmsd197-pm7, 3559.734927, 139.880080, 158.775093
CHG_jobs/astex_1ig3, rmsd197-opt, 3564.958803, 139.880180, 158.754659
CHG_jobs/astex_1ig3, rmsd222-mmff, nan, 151.875950, 143.308422
CHG_jobs/astex_1ig3, rmsd222-pm7, 3559.556344, 139.811560, 155.959909
CHG_jobs/astex_1ig3, rmsd222-opt, 3564.787392, 139.811580, 155.965184
CHG_jobs/astex_1ig3, rmsd24-mmff, nan, 152.037790, 141.285030
CHG_jobs/astex_1ig3, rmsd24-pm7, 3558.883526, 140.156440, 151.423155
CHG_jobs/astex_1ig3, rmsd24-opt, 3564.781996, 140.156400, 151.433398
CHG_jobs/astex_1ig3, rmsd242-mmff, nan, 145.740300, 143.864613
CHG_jobs/astex_1ig3, rmsd242-pm7, 3558.903941, 140.023240, 160.633962
CHG_jobs/astex_1ig3, rmsd242-opt, 3564.975378, 140.023320, 160.616910
CHG_jobs/astex_1ig3, rmsd56-mmff, nan, 145.401680, 148.982861
CHG_jobs/astex_1ig3, rmsd56-pm7, 3559.416476, 139.852740, 158.663836
CHG_jobs/astex_1ig3, rmsd56-opt, 3565.102693, 139.852800, 158.684126
CHG_jobs/astex_1j3j, rmsd1-mmff, nan, 178.318250, -52.997758
CHG_jobs/astex_1j3j, rmsd1-pm7, 3284.557307, 168.371270, -48.797234
CHG_jobs/astex_1j3j, rmsd1-opt, 3289.820169, 168.371550, -48.793395
CHG_jobs/astex_1j3j, rmsd12-mmff, nan, 178.275030, -52.930358
CHG_jobs/astex_1j3j, rmsd12-pm7, 3284.654417, 168.198850, -48.981142
CHG_jobs/astex_1j3j, rmsd12-opt, 3289.920286, 168.199090, -48.985342
CHG_jobs/astex_1j3j, rmsd13-mmff, nan, 178.310440, -53.003432
CHG_jobs/astex_1j3j, rmsd13-pm7, 3284.662837, 168.204850, -49.085492
CHG_jobs/astex_1j3j, rmsd13-opt, 3289.923381, 168.204910, -49.085368
CHG_jobs/astex_1j3j, rmsd15-mmff, nan, 178.370350, -52.990294
CHG_jobs/astex_1j3j, rmsd15-pm7, 3284.530469, 168.383390, -48.741980
CHG_jobs/astex_1j3j, rmsd15-opt, 3289.838498, 168.383450, -48.746923
CHG_jobs/astex_1j3j, rmsd2-mmff, nan, 178.262850, -52.922242
CHG_jobs/astex_1j3j, rmsd2-pm7, 3284.462696, 168.220240, -48.563214
CHG_jobs/astex_1j3j, rmsd2-opt, 3289.918058, 168.220430, -48.560108
CHG_jobs/astex_1j3j, rmsd3-mmff, nan, 178.370630, -52.973755
CHG_jobs/astex_1j3j, rmsd3-pm7, 3284.503900, 168.373850, -48.752688
CHG_jobs/astex_1j3j, rmsd3-opt, 3289.862634, 168.373630, -48.770501
CHG_jobs/astex_1j3j, rmsd4-mmff, nan, 178.383990, -52.853732
CHG_jobs/astex_1j3j, rmsd4-pm7, 3284.641893, 168.228060, -49.004271
CHG_jobs/astex_1j3j, rmsd4-opt, 3289.901009, 168.228080, -48.995837
CHG_jobs/astex_1j3j, rmsd7-mmff, nan, 178.399320, -52.816437
CHG_jobs/astex_1j3j, rmsd7-pm7, 3284.502709, 168.237330, -48.555309
CHG_jobs/astex_1j3j, rmsd7-opt, 3289.864142, 168.237460, -48.562099
CHG_jobs/astex_1j3j, rmsd8-mmff, nan, 178.381110, -52.863283
CHG_jobs/astex_1j3j, rmsd8-pm7, 3284.712306, 168.235680, -49.079886
