name, len, rsq, spearman, slope, intercept
CHG_jobs/astex_1gm8,10,0.0805322773379,-0.321212121212,-0.0505634962709,4835.54090049
CHG_jobs/astex_1hnn,8,nan,nan,nan,nan
CHG_jobs/astex_1ia1,10,nan,nan,nan,nan
CHG_jobs/astex_1ig3,10,nan,nan,nan,nan
CHG_jobs/astex_1j3j,10,nan,nan,nan,nan
CHG_jobs/astex_1jd0,10,nan,nan,nan,nan
CHG_jobs/astex_1l7f,10,nan,nan,nan,nan
CHG_jobs/astex_1lpz,10,nan,nan,nan,nan
CHG_jobs/astex_1mmv,10,nan,nan,nan,nan
CHG_jobs/astex_1mzc,10,nan,nan,nan,nan
CHG_jobs/astex_1n1m,10,nan,nan,nan,nan
CHG_jobs/astex_1of6,10,nan,nan,nan,nan
CHG_jobs/astex_1oq5,8,nan,nan,nan,nan
CHG_jobs/astex_1owe,10,nan,nan,nan,nan
CHG_jobs/astex_1oyt,10,nan,nan,nan,nan
CHG_jobs/astex_1p2y,10,0.361784473431,0.527272727273,0.121986600959,2374.44373666
CHG_jobs/astex_1pmn,10,nan,nan,nan,nan
CHG_jobs/astex_1q1g,10,0.0252931009959,0.345454545455,0.080237322856,3485.53257054
CHG_jobs/astex_1r1h,10,nan,nan,nan,nan
CHG_jobs/astex_1s3v,10,nan,nan,nan,nan
CHG_jobs/astex_1sj0,10,0.0597464126511,0.115151515152,0.0162875381215,6789.65466372
CHG_jobs/astex_1t46,10,nan,nan,nan,nan
CHG_jobs/astex_1tt1,10,nan,nan,nan,nan
CHG_jobs/astex_1uou,10,nan,nan,nan,nan
CHG_jobs/astex_1vcj,10,nan,nan,nan,nan
CHG_jobs/astex_1y6b,10,nan,nan,nan,nan
CHG_jobs/astex_1ygc,10,nan,nan,nan,nan
CHG_jobs/astex_1ywr,10,nan,nan,nan,nan
CHG_jobs/astex_2bm2,10,nan,nan,nan,nan
CHG_jobs/omegacsd_ABXBPC,10,nan,nan,nan,nan
CHG_jobs/omegacsd_AURMIN,10,nan,nan,nan,nan
CHG_jobs/omegacsd_BAFJEX10,10,nan,nan,nan,nan
CHG_jobs/omegacsd_BATROD,10,nan,nan,nan,nan
CHG_jobs/omegacsd_BUSNIM,10,nan,nan,nan,nan
CHG_jobs/omegacsd_CAGXEN,10,nan,nan,nan,nan
CHG_jobs/omegacsd_CALLEG,10,nan,nan,nan,nan
CHG_jobs/omegacsd_CATXIE,10,nan,nan,nan,nan
CHG_jobs/omegacsd_CIXTOS,10,nan,nan,nan,nan
CHG_jobs/omegacsd_CMPEPI,10,nan,nan,nan,nan
CHG_jobs/omegacsd_CYCLIZ10,10,nan,nan,nan,nan
CHG_jobs/omegacsd_DIPJAN10,10,nan,nan,nan,nan
CHG_jobs/omegacsd_DIZREJ,10,nan,nan,nan,nan
CHG_jobs/omegacsd_DIZWAK,10,nan,nan,nan,nan
CHG_jobs/omegacsd_DUZRAR,10,nan,nan,nan,nan
CHG_jobs/omegacsd_FAJVAN,10,nan,nan,nan,nan
CHG_jobs/omegacsd_FANRER,10,nan,nan,nan,nan
CHG_jobs/omegacsd_FEKYEZ,10,nan,nan,nan,nan
CHG_jobs/omegacsd_FEVZUB,10,nan,nan,nan,nan
CHG_jobs/omegacsd_FOLYIO,10,nan,nan,nan,nan
CHG_jobs/omegacsd_FOPMIG,10,nan,nan,nan,nan
CHG_jobs/omegacsd_FUPFIF,10,nan,nan,nan,nan
CHG_jobs/omegacsd_GALMOV,10,nan,nan,nan,nan
CHG_jobs/omegacsd_GEKWAU,10,nan,nan,nan,nan
CHG_jobs/omegacsd_HEPYAC,10,nan,nan,nan,nan
CHG_jobs/omegacsd_HEVJAT,10,nan,nan,nan,nan
CHG_jobs/omegacsd_JUBJOF,10,nan,nan,nan,nan
CHG_jobs/omegacsd_KEMHOZ,10,nan,nan,nan,nan
CHG_jobs/omegacsd_PEPHEX,10,nan,nan,nan,nan
CHG_jobs/omegacsd_PONXUL,10,nan,nan,nan,nan
CHG_jobs/omegacsd_SAGWOM,10,nan,nan,nan,nan
CHG_jobs/omegacsd_SAWZUL,10,nan,nan,nan,nan
CHG_jobs/omegacsd_SIHGIZ,10,nan,nan,nan,nan
CHG_jobs/omegacsd_SUKPET,10,nan,nan,nan,nan
CHG_jobs/omegacsd_TAZXAT,10,nan,nan,nan,nan
CHG_jobs/omegacsd_TEKBIU,10,nan,nan,nan,nan
CHG_jobs/omegacsd_VIMYUL,10,nan,nan,nan,nan
CHG_jobs/omegacsd_VURTOR,10,nan,nan,nan,nan
CHG_jobs/omegacsd_WEBCOV,10,nan,nan,nan,nan
CHG_jobs/omegacsd_WIDDIW,10,nan,nan,nan,nan
CHG_jobs/omegacsd_YAYDEH,10,nan,nan,nan,nan
CHG_jobs/omegacsd_YIHJAA,10,nan,nan,nan,nan
CHG_jobs/omegapdb_1g4s,10,nan,nan,nan,nan
