name, len, rsq, spearman, slope, intercept
CHG_jobs/astex_1gm8,10,0.0392107548348,0.369696969697,0.119427470368,4044.90382521
CHG_jobs/astex_1hnn,8,nan,nan,nan,nan
CHG_jobs/astex_1ia1,10,nan,nan,nan,nan
CHG_jobs/astex_1ig3,10,nan,nan,nan,nan
CHG_jobs/astex_1j3j,10,nan,nan,nan,nan
CHG_jobs/astex_1jd0,10,nan,nan,nan,nan
CHG_jobs/astex_1l7f,10,nan,nan,nan,nan
CHG_jobs/astex_1lpz,10,nan,nan,nan,nan
CHG_jobs/astex_1mmv,10,nan,nan,nan,nan
CHG_jobs/astex_1mzc,10,nan,nan,nan,nan
CHG_jobs/astex_1n1m,10,nan,nan,nan,nan
CHG_jobs/astex_1of6,10,nan,nan,nan,nan
CHG_jobs/astex_1oq5,8,nan,nan,nan,nan
CHG_jobs/astex_1owe,10,nan,nan,nan,nan
CHG_jobs/astex_1oyt,10,nan,nan,nan,nan
CHG_jobs/astex_1p2y,10,0.0990044637348,-0.151515151515,0.164991514273,2252.93488219
CHG_jobs/astex_1pmn,10,nan,nan,nan,nan
CHG_jobs/astex_1q1g,10,0.0515951515973,-0.030303030303,-0.0768861458291,4067.03004905
CHG_jobs/astex_1r1h,10,nan,nan,nan,nan
CHG_jobs/astex_1s3v,10,nan,nan,nan,nan
CHG_jobs/astex_1sj0,10,0.0296781267719,0.406060606061,0.0174710034479,6771.22861736
CHG_jobs/astex_1t46,10,nan,nan,nan,nan
CHG_jobs/astex_1tt1,10,nan,nan,nan,nan
CHG_jobs/astex_1uou,10,nan,nan,nan,nan
CHG_jobs/astex_1vcj,10,nan,nan,nan,nan
CHG_jobs/astex_1y6b,10,nan,nan,nan,nan
CHG_jobs/astex_1ygc,10,nan,nan,nan,nan
CHG_jobs/astex_1ywr,10,nan,nan,nan,nan
CHG_jobs/astex_2bm2,10,nan,nan,nan,nan
CHG_jobs/omegacsd_ABXBPC,10,nan,nan,nan,nan
CHG_jobs/omegacsd_AURMIN,10,nan,nan,nan,nan
CHG_jobs/omegacsd_BAFJEX10,10,nan,nan,nan,nan
CHG_jobs/omegacsd_BATROD,10,nan,nan,nan,nan
CHG_jobs/omegacsd_BUSNIM,10,nan,nan,nan,nan
CHG_jobs/omegacsd_CAGXEN,10,nan,nan,nan,nan
CHG_jobs/omegacsd_CALLEG,10,nan,nan,nan,nan
CHG_jobs/omegacsd_CATXIE,10,nan,nan,nan,nan
CHG_jobs/omegacsd_CIXTOS,10,nan,nan,nan,nan
CHG_jobs/omegacsd_CMPEPI,10,nan,nan,nan,nan
CHG_jobs/omegacsd_CYCLIZ10,10,nan,nan,nan,nan
CHG_jobs/omegacsd_DIPJAN10,10,nan,nan,nan,nan
CHG_jobs/omegacsd_DIZREJ,10,nan,nan,nan,nan
CHG_jobs/omegacsd_DIZWAK,10,nan,nan,nan,nan
CHG_jobs/omegacsd_DUZRAR,10,nan,nan,nan,nan
CHG_jobs/omegacsd_FAJVAN,10,nan,nan,nan,nan
CHG_jobs/omegacsd_FANRER,10,nan,nan,nan,nan
CHG_jobs/omegacsd_FEKYEZ,10,nan,nan,nan,nan
CHG_jobs/omegacsd_FEVZUB,10,nan,nan,nan,nan
CHG_jobs/omegacsd_FOLYIO,10,nan,nan,nan,nan
CHG_jobs/omegacsd_FOPMIG,10,nan,nan,nan,nan
CHG_jobs/omegacsd_FUPFIF,10,nan,nan,nan,nan
CHG_jobs/omegacsd_GALMOV,10,nan,nan,nan,nan
CHG_jobs/omegacsd_GEKWAU,10,nan,nan,nan,nan
CHG_jobs/omegacsd_HEPYAC,10,nan,nan,nan,nan
CHG_jobs/omegacsd_HEVJAT,10,nan,nan,nan,nan
CHG_jobs/omegacsd_JUBJOF,10,nan,nan,nan,nan
CHG_jobs/omegacsd_KEMHOZ,10,nan,nan,nan,nan
CHG_jobs/omegacsd_PEPHEX,10,nan,nan,nan,nan
CHG_jobs/omegacsd_PONXUL,10,nan,nan,nan,nan
CHG_jobs/omegacsd_SAGWOM,10,nan,nan,nan,nan
CHG_jobs/omegacsd_SAWZUL,10,nan,nan,nan,nan
CHG_jobs/omegacsd_SIHGIZ,10,nan,nan,nan,nan
CHG_jobs/omegacsd_SUKPET,10,nan,nan,nan,nan
CHG_jobs/omegacsd_TAZXAT,10,nan,nan,nan,nan
CHG_jobs/omegacsd_TEKBIU,10,nan,nan,nan,nan
CHG_jobs/omegacsd_VIMYUL,10,nan,nan,nan,nan
CHG_jobs/omegacsd_VURTOR,10,nan,nan,nan,nan
CHG_jobs/omegacsd_WEBCOV,10,nan,nan,nan,nan
CHG_jobs/omegacsd_WIDDIW,10,nan,nan,nan,nan
CHG_jobs/omegacsd_YAYDEH,10,nan,nan,nan,nan
CHG_jobs/omegacsd_YIHJAA,10,nan,nan,nan,nan
CHG_jobs/omegapdb_1g4s,10,nan,nan,nan,nan
CHG_jobs/omegapdb_1gj6,10,nan,nan,nan,nan
CHG_jobs/omegapdb_1n2b,10,nan,nan,nan,nan
CHG_jobs/omegapdb_1nnk,10,nan,nan,nan,nan
CHG_jobs/omegapdb_1o2q,10,nan,nan,nan,nan
CHG_jobs/omegapdb_1o37,10,nan,nan,nan,nan
CHG_jobs/omegapdb_1o3l,10,nan,nan,nan,nan
CHG_jobs/omegapdb_1o3m,10,nan,nan,nan,nan
CHG_jobs/omegapdb_1pa9,10,nan,nan,nan,nan
CHG_jobs/omegapdb_1r4p,10,nan,nan,nan,nan
CHG_jobs/omegapdb_1rf6,10,nan,nan,nan,nan
CHG_jobs/omegapdb_1w4l,10,nan,nan,nan,nan
CHG_jobs/omegapdb_2aj8,10,nan,nan,nan,nan
CHG_jobs/omegapdb_2fm0,10,nan,nan,nan,nan
CHG_jobs/omegapdb_2j47,10,nan,nan,nan,nan
Neutral_jobs/astex_1g9v,10,0.718106857742,0.806060606061,0.504996692498,2663.12469068
Neutral_jobs/astex_1gkc,10,0.67989610515,0.781818181818,0.68125967003,1625.94035472
Neutral_jobs/astex_1hp0,10,0.101363293854,0.10303030303,0.15082151204,3036.27452547
Neutral_jobs/astex_1hq2,10,0.044738154649,-0.115151515152,-0.049989909756,2632.17051068
Neutral_jobs/astex_1hvy,10,0.448896739484,0.527272727273,0.805512218048,1186.08680482
Neutral_jobs/astex_1hwi,10,0.259040273767,0.442424242424,0.540174490261,2898.76527866
Neutral_jobs/astex_1jje,10,0.425759121138,0.272727272727,0.462245675352,2675.3796301
Neutral_jobs/astex_1jla,10,0.0364595617277,-0.187878787879,0.0782401878638,5334.98071839
Neutral_jobs/astex_1k3u,10,0.0373773297032,0.139393939394,0.0774353561808,3712.47891592
Neutral_jobs/astex_1ke5,10,0.0552760297098,0.478787878788,0.0256461257654,4200.32413005
Neutral_jobs/astex_1kzk,10,0.0344696205366,-0.0545454545455,0.0756632759218,8034.66082812
Neutral_jobs/astex_1l2s,10,0.0197155109063,-0.272727272727,-0.0413022534947,3111.09231481
Neutral_jobs/astex_1lrh,10,0.335025256769,0.672727272727,0.0401027018469,2761.97879356
Neutral_jobs/astex_1m2z,10,0.183219837738,-0.551515151515,-0.049469151738,6424.18334363
Neutral_jobs/astex_1meh,10,0.00123919507509,0.00606060606061,-0.0250995757472,4882.54803334
Neutral_jobs/astex_1n2j,10,0.892621900136,0.454545454545,0.655095127575,755.628366026
Neutral_jobs/astex_1n2v,10,0.653822826524,0.781818181818,1.0587888691,-175.243216807
Neutral_jobs/astex_1n46,10,0.374944738588,0.6,0.773313870459,1236.96072856
Neutral_jobs/astex_1nav,10,0.152157762722,-0.418181818182,-0.244725070745,5440.48998264
Neutral_jobs/astex_1of1,10,0.864565101961,0.660606060606,0.472075989177,1934.49869781
Neutral_jobs/astex_1opk,7,0.11592084049,0.321428571429,0.111862118034,4707.15538939
Neutral_jobs/astex_1p62,10,0.0118186674231,-0.0787878787879,0.122740444431,2716.27556729
Neutral_jobs/astex_1q41,1,0.0,nan,nan,nan
Neutral_jobs/astex_1q4g,10,7.04424997324e-05,0.0909090909091,0.0027432560472,3625.29547187
Neutral_jobs/astex_1r55,10,0.227145185308,0.6,0.275532862356,3781.45458581
Neutral_jobs/astex_1r58,10,0.573560088616,0.854545454545,0.608926603813,1821.18439683
Neutral_jobs/astex_1r9o,10,0.402092469632,0.490909090909,0.10209004298,3274.41479953
Neutral_jobs/astex_1sg0,10,0.951692861484,0.793939393939,1.78949274065,-2699.30400316
Neutral_jobs/astex_1sq5,10,0.75952213374,0.878787878788,0.43049999368,1846.51538842
Neutral_jobs/astex_1t40,8,0.308403370289,0.333333333333,0.164384295964,3761.63602701
Neutral_jobs/astex_1t9b,10,0.00461980002592,-0.0545454545455,-0.00153489055075,3807.96065543
Neutral_jobs/astex_1tow,10,0.10488514798,-0.030303030303,-0.137938219342,4538.30239402
Neutral_jobs/astex_1tz8,10,0.51168688488,0.454545454545,1.16994608803,-766.29470076
Neutral_jobs/astex_1u1c,10,0.167255832807,0.466666666667,0.0484383883982,3825.92647206
Neutral_jobs/astex_1u4d,1,0.0,nan,nan,nan
Neutral_jobs/astex_1uml,10,0.173721978436,-0.248484848485,-0.160488230696,7903.68247584
Neutral_jobs/astex_1unl,8,0.325506357057,0.547619047619,0.292605740348,3985.87362816
Neutral_jobs/astex_1v0p,10,0.165681359582,0.478787878788,0.17996671627,4921.73069754
Neutral_jobs/astex_1v48,10,0.00892099382651,-0.0181818181818,-0.080728120595,4119.98770613
Neutral_jobs/astex_1v4s,10,0.120615176901,-0.272727272727,-0.0054295599491,3984.77283221
Neutral_jobs/astex_1w1p,1,0.0,nan,nan,nan
Neutral_jobs/astex_1w2g,10,0.046818429965,0.284848484848,0.260178594959,2451.80511877
Neutral_jobs/astex_1xm6,10,0.12263111306,0.321212121212,0.122497015234,3582.86723619
Neutral_jobs/astex_1xoq,10,0.370183892568,0.539393939394,0.79643572743,908.987366819
Neutral_jobs/astex_1xoz,10,0.043851885881,0.115151515152,-0.0356567755427,5862.31736282
Neutral_jobs/astex_1yqy,10,0.152870314491,-0.406060606061,-0.100171352662,4793.56058246
Neutral_jobs/astex_1yvf,10,0.0810773965391,0.381818181818,0.168388655717,4384.39937233
Neutral_jobs/astex_1z95,10,0.074903114362,-0.127272727273,-0.0993388252345,5370.06899771
Neutral_jobs/astex_2br1,10,0.118879119441,0.187878787879,0.0278478172716,5606.53862254
Neutral_jobs/astex_2bsm,10,0.00634712319266,-0.0545454545455,-0.0734643237326,5501.31834912
Neutral_jobs/omegacsd_ABHYTZ,10,0.00436411908085,-0.0181818181818,0.0626569348207,2745.03712667
Neutral_jobs/omegacsd_ABIMAZ,10,0.105112600307,-0.660606060606,-0.00361414577133,2879.41197377
Neutral_jobs/omegacsd_ABSBPP,10,0.594467323286,0.806060606061,0.061489792403,5584.36719086
Neutral_jobs/omegacsd_ABVPRO,10,0.133459071913,0.175757575758,0.453765062237,2584.43419997
Neutral_jobs/omegacsd_ABZNPS,10,0.129545946592,0.478787878788,0.37469357427,2575.41492641
Neutral_jobs/omegacsd_ACENHT,10,0.0719721936674,0.0909090909091,0.145540437521,3375.80926961
Neutral_jobs/omegacsd_ACPIXZ,10,0.125713253948,0.284848484848,0.262775769751,3487.80721674
Neutral_jobs/omegacsd_ACTHBZ,10,0.00384001312,0.309090909091,0.0466489068488,4307.25072822
Neutral_jobs/omegacsd_ADPRTR,10,0.0724167124772,0.187878787879,0.187525691847,4177.71481701
Neutral_jobs/omegacsd_AMOCMS10,10,0.0157100365669,-0.381818181818,-0.0269033349337,4041.0995709
Neutral_jobs/omegacsd_AMPDAM,10,0.0191292572539,-0.10303030303,0.0219771392116,2931.95122009
Neutral_jobs/omegacsd_ANOPPS,10,0.57214512925,0.781818181818,0.633520798002,1478.2303746
Neutral_jobs/omegacsd_ANTZOA,10,0.368300104006,-0.442424242424,-0.0206898017024,4410.99386977
Neutral_jobs/omegacsd_ANTZOB,10,0.0981305365451,0.10303030303,0.0542242252983,5002.89125531
Neutral_jobs/omegacsd_AOPCHY,10,0.261999309962,0.442424242424,0.638643161836,2103.92136963
Neutral_jobs/omegacsd_APRTAM,10,0.138469426717,0.381818181818,0.482669661389,2450.51840453
Neutral_jobs/omegacsd_AZLNPR,10,0.400849155038,0.6,0.582786004541,1695.62224204
Neutral_jobs/omegacsd_BAFREF,10,0.29005834676,0.478787878788,0.124430732657,2302.61325751
Neutral_jobs/omegacsd_BAFYOW,10,0.0836689888921,-0.0545454545455,-0.008624946111,4693.19576803
